video_id,comments
MyVfUaXyyqo,"['this should have been a thing 10 years ago at least..we were speaking about it..i really hope it takes off soon, not in 10 years', 'IN india working hour for labors is 85 hrs in a week , and for tech companies its more than 70hrs  ,', 'I completely agree with her argument. Also anyone else thinks she sounds similar to Michelle Obama?', 'Richest most advanced society ever, and we still have to work at all?  Preposterous.', ""Unfortunately, most companies won't do this. If they see that they are making money, and workers can handle the pressure while ignoring their mental health, they won't change anything in the system."", 'that is an amazing idea,I but it is too difficult to implement!', 'I felt happy only by listening to that imagine if my country implement the idea', 'End coerced labor!\nNo more evictions from primary residences!\nNo one should live in fear of losing the only home they have!!!', 'Looking at her face, I knew it wasn’t long until she mentioned the fairytale of systemic racism. \n\nCredibility gone. 🤣', ""A 4 day work week just makes sense even if it's still 40 hours a week.""]"
2yXSQ1BmZFM,"['Love her!❤️❤️❤️❤️  She needs to be on PBS!  But I guess Tik Tok  has greater reach audience-wise.  Her pointers can save many lives during a famine.', 'I follow her on fb! So happy for her! 💗', 'Omg she is so funny, intelligent and outstanding woman I love how she delivered her speech ❤️❤️❤️❤️❤️❤️❤️', 'The Official Announcement of the Destroyer from Heaven’s Court!\n\n“The time has OFFICIALLY come O’ people of the Earth for your sentences, your pronounced JUDGMENT to be served both to the individuals, and to the whole people of the Earth. A TIME OF WEEPING, A TIME OF MOURNING!!!”\n\n“This is the OFFICIAL ANNOUNCEMENT to your world that the DESTROYER by legal rights is here to strike with the arm of Judgment of the risen Lamb Jesus, and to do his bidding, his commands, which he has received from he who sits on the Throne, the ONLY true and living God, Jehovah, at this appointed time of this day and of this hour!”\n\n“The Destroyer is officially released to complete his task that lays ahead for your world! No longer shall he be partially contained, but is hereby released by the command of the Living God Jehovah.”\n\n“It begins at this releasing of this Heavenly official announcement! You were WARNED out of love of what was to come if evil people refused to repent! You are now once again warned out of love of what is to come upon your world, for he, the GREAT God Jehovah does nothing without giving word to his servants the prophets!”\n\n“Hear me now O’ people of the Earth and hear me well. The striking of the Destroyer is the time of now! Those of his, of the risen Lamb who TRUST in the Lamb shall be safe in his covering of blood, for those commanded by Jehovah God, the ruler of all the Heavens and the Earth, to not be touched by the strikes of the Destroyer!""\n\n“This O’ people of the Earth is your official announcement from Heaven’s court for all things must be done in order by the legal system of Heaven set up by the GREAT God Jehovah himself, when he created the Heavens and the Earth by his commands and his son Jesus, the risen Lamb’s hands. This order cannot be changed! A TIME OF WEEPING! A TIME OF WAILING FOR THE PEOPLE OF THE Earth!!!”', 'I... love... her!', 'instagram star fails to tell followers they have a TED talk, followers surprised and delighted to find it in youtube feed...', ""I really liked her because I'm also black and love foraging, have been doing it for a couple years now, and excited to learn more. but she heavily claims to be vegan and then has bashed us vegans on her tiktoks....sooo.... that's where I draw the line. I don't associate with people who lie for monetary value."", 'I had no idea she was anything besides a tiktok creator. How cool to see her in a Ted stage!', 'I stopped this video halfway through to look up edible weeds in my area.', 'Love love love 🥰🥰🥰🥰']"
gKZBvEekxvo,"['The Official Announcement of the Destroyer from Heaven’s Court!\n\n“The time has OFFICIALLY come O’ people of the Earth for your sentences, your pronounced JUDGMENT to be served both to the individuals, and to the whole people of the Earth. A TIME OF WEEPING, A TIME OF MOURNING!!!”\n\n“This is the OFFICIAL ANNOUNCEMENT to your world that the DESTROYER by legal rights is here to strike with the arm of Judgment of the risen Lamb Jesus, and to do his bidding, his commands, which he has received from he who sits on the Throne, the ONLY true and living God, Jehovah, at this appointed time of this day and of this hour!”\n\n“The Destroyer is officially released to complete his task that lays ahead for your world! No longer shall he be partially contained, but is hereby released by the command of the Living God Jehovah.”\n\n“It begins at this releasing of this Heavenly official announcement! You were WARNED out of love of what was to come if evil people refused to repent! You are now once again warned out of love of what is to come upon your world, for he, the GREAT God Jehovah does nothing without giving word to his servants the prophets!”\n\n“Hear me now O’ people of the Earth and hear me well. The striking of the Destroyer is the time of now! Those of his, of the risen Lamb who TRUST in the Lamb shall be safe in his covering of blood, for those commanded by Jehovah God, the ruler of all the Heavens and the Earth, to not be touched by the strikes of the Destroyer!""\n\n“This O’ people of the Earth is your official announcement from Heaven’s court for all things must be done in order by the legal system of Heaven set up by the GREAT God Jehovah himself, when he created the Heavens and the Earth by his commands and his son Jesus, the risen Lamb’s hands. This order cannot be changed! A TIME OF WEEPING! A TIME OF WAILING FOR THE PEOPLE OF THE Earth!!!”', '""Which country in the world has the highest number of entrepreneurs?""  ""Uganda! 39% of entrepreneurs in Uganda are women"". How can we take you seriously when you conflate the number of female entrepreneurs with the percentage of female entrepreneurs in a country? If Uganda had 10 entrepreneurs and 9 of them were women then 90% of entrepreneurs in Uganda would be women, but if Belgium had 200.000 entrepreneurs and ""only"" 30% were women, then Belgium would have 60.000 female entrepreneurs. Which country do you think investors are more likely to pour money into?', '동사만 잡겠습니다', 'Oof the jealousy in the comments!', ""*Don't* *only* *spend* *your  money💰💰  also invest so you* *can have multiple streams* *of income* 💵💵"", '<3', ""It's really easy to start businesses when there's literally no businesses to compete with lol. In Ghana you could literally set up a desk and put some sandals on it, and you're a business owners lol"", '0:05 WRONG!\nThe question should be, ""which country has the highest PERCENTAGE of female entrepreneurs?"" and not ""which country has the highest NUMBER of female entrepreneurs?""', '""If you do what you always did, you will get what you always got."" ---Anonymous', ""The market is based on demand and supply. Investors invest into concepts and not people. Investors invest into a company because they trust the company and they believe in it.. Not because of the skin color of the CEO. If there is one thing investors hate its uncertainty.\nBut hey it's easy making demands when it's not your money.""]"
O8duvJfrjss,"['This bloke is just out for himself. He flew 14k miles so he could talk in person, he could have used a video link but its all actually about him, his needs, so he wants more than that naturally. He wants the applause and back pats.  Someone mentioned he also just gave himself a payrise on our taxes. How very nice for his to award himself a payrise.', ""He obviously just wanted to have a holiday paid for out of taxes.  He flew for 9 hours to give a short talk about climate change.\n\nEco campaigners are all the same.  For example, climate researchers have been shown to fly more miles to 'conferences' than any other academics.  They want you to stop flying because they claim it will destroy all of civilisation but it is fine for them to spend your taxes jetting all over the world.  When they get to their destination they just spend a few hours talking about the damage flying does and then get on a plane to fly home (after spending a few days sightseeing at your expense if course)."", 'RE : Flying to another continent to speak about tackling climate change. Im afraid your about to get judged by your actions and not by your words and probably replaced with a responsible mayor hopefully / one day soon.', 'The Official Announcement of the Destroyer from Heaven’s Court!\n\n“The time has OFFICIALLY come O’ people of the Earth for your sentences, your pronounced JUDGMENT to be served both to the individuals, and to the whole people of the Earth. A TIME OF WEEPING, A TIME OF MOURNING!!!”\n\n“This is the OFFICIAL ANNOUNCEMENT to your world that the DESTROYER by legal rights is here to strike with the arm of Judgment of the risen Lamb Jesus, and to do his bidding, his commands, which he has received from he who sits on the Throne, the ONLY true and living God, Jehovah, at this appointed time of this day and of this hour!”\n\n“The Destroyer is officially released to complete his task that lays ahead for your world! No longer shall he be partially contained, but is hereby released by the command of the Living God Jehovah.”\n\n“It begins at this releasing of this Heavenly official announcement! You were WARNED out of love of what was to come if evil people refused to repent! You are now once again warned out of love of what is to come upon your world, for he, the GREAT God Jehovah does nothing without giving word to his servants the prophets!”\n\n“Hear me now O’ people of the Earth and hear me well. The striking of the Destroyer is the time of now! Those of his, of the risen Lamb who TRUST in the Lamb shall be safe in his covering of blood, for those commanded by Jehovah God, the ruler of all the Heavens and the Earth, to not be touched by the strikes of the Destroyer!""\n\n“This O’ people of the Earth is your official announcement from Heaven’s court for all things must be done in order by the legal system of Heaven set up by the GREAT God Jehovah himself, when he created the Heavens and the Earth by his commands and his son Jesus, the risen Lamb’s hands. This order cannot be changed! A TIME OF WEEPING! A TIME OF WAILING FOR THE PEOPLE OF THE Earth!!!”', ""Climate change is a scam.\nIf it is happening, it isn't by man and there's not one thing we can do about it."", ""Feel free to visit Bristol and see all the millions of fossil fuel powered cars. They are even introducing a clean air zone where >70% of current vehicles won't need to pay. So basically doing nothing."", 'Talks about climate change… Travels over 4 thousand miles on a plane to talk about it. Good ol’ marvellous Marvin!', ""In today's world, religion and sin does not scare or tame the wild nature of human beings like the olden days. The powers of the world need something to control the minds of human race since the early civilization, and with so much advancement and sea of knowledge at our disposal at the click of button, climate change hoax is the best way to keep in fears the mind of human. When one is in fear, it makes easy for the powerful to control the population."", 'Didn\'t this ""hero"" just give himself a payrise? While already evening in the top ten% in the UK?', 'This man is a narcissist and a hypocrite. He is the mayor of my city and has done more harm than good when it comes to eco related matters.']"
XjK61Kkx1zI,"['“Political will is itself a renewable resource.” Love it', 'This is not a possum till war. This isn’t a war on political agenda of electronic everything is absolutely ridiculous. Covid, Ukraine, BLM, LGBQ, all these fear-based political agendas has decimated the country', 'Agreed!', '.... but like the lead people follow I think goes up in a clowns fire gag', 'Where is that hockey stick you promised Al “ plantation owner” Gore?', 'The only change that I see is that the imaginary agw crisis story line is getting much harder to defend.', 'Stop ANIMAL AG. A vegan humanity could rewild an area slightly larger than the continent of Africa; intact ecological ecosystems are what capture carbon (not teslas, etc.). We have less than 4% of mammalian wildlife biomass on earth; earth is now made up of humans and the domestic animals they kill, at a rate of 73,000 per second globally (does not include sea life and wildlife that loses its home/habitat to make room for this madness.) Stop the consumerist culture. Mr. Gore: your comments are empty unless you discuss the COW in the room. This is absurd.  What is even more absurd is not discussing the fact that when our oceans die, we die; 50% of the oxygen we breathe comes from the ocean (symbiotic relationship between whales and phytoplankton)… All of this is just: blah, blah, blah…', 'How different things could have been. 😞', 'تقديم مساهمتكم التخاطب', 'تقديم ظساهمتكم التخاطب']"
1yQYySYN2io,"['Got milk... 😎\nMatthew 24:19\n""Woe to those who are pregnant & to those who are nursing babies in those days!""', 'Mujhse english nhi ati may to bs sun raha tha kuch samjhe nhii', 'I appreciate this great piece of information, but i wonder if it`s applicable in every field.', 'Being student of data science great hear this ted talk', ""Are you ready for Heaven? Have you ever lied, stolen used God's name as a curse word (O-M-G)? According to God's law, you're guilty. But wait, God loves you, he made a way out. God so loved the world that he gave his only son that whoever believes in him will not die but have everlasting life. John 3:16 Please think about it. Repent/believe before the rapture, before the one world government. Jesus died for you,live for him. Love U"", 'Brilliant! 👏🏼👏🏼👏🏼', '👍👍👍', '*As an investing enthusiast,I often wonder how top level investors are able to become millionaires off investing,I do have a significant amount of capital that is required to start up but I have no idea what strategies and direction I need to approach to help me make decent returns*', 'AI will replace many white-collar jobs.', 'I wish I had the capital, understanding, personnel, and resources to implement A.I. into my work. But... nope. 😕\n\nNothing can be done.\n\n🐲✨🐲✨🐲✨']"
4fHVTEVJjjc,"['Got milk... 😎\nMatthew 24:19\n""Woe to those who are pregnant & to those who are nursing babies in those days!""', 'I love ❤️ all your songs! Thanks for this video! I always loved your Dad also & his music also! My parents before they died always loved to watch y’all also & the Carter women! Enjoyed your speech & music!👏💯', 'Love,love this woman. John Leventhal,her husband ,is my role model.', 'Great song, really poignant thank you so very much for sharing. 🙂', 'Those who believe and whose hearts find comfort in the remembrance of Allah. Surely in the remembrance of Allah do hearts find comfort.\nRad/28', 'Isaiah 9:6 👑\n“For unto us a Child is born,\nUnto us a Son is given;\nAnd the government will be upon His shoulder.\nAnd His name will be called\nWonderful, Counselor, Mighty God,\nEverlasting Father, Prince of Peace.”', '<3', '*As an investing enthusiast,I often wonder how top level investors are able to become millionaires off investing,I do have a significant amount of capital that is required to start up but I have no idea what strategies and direction I need to approach to help me make decent returns*', '🥰', 'Each of us has a role to play in protecting our planet 🌍🌏🌎.']"
7vqnazqmceQ,"['She is inspiring and funny 😁', 'Strong lady !!!', ""So inspiring, insightful and heartfelt. Bevy's message resonates for so many. It really does get greater, later!"", '👍👍 👏 👏👏👏', '“Authentic Connections” YES Bevy!🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾', 'Oh wow ! I watched the road to ep on her youtube channel first. So heartwarming to see her soar. This is such a fun, witty & heartfelt talk, perfect reflection of her character ! Very inspiring', 'Amazing!!!', 'How did this make it to TED? This has TEDx written all over it.', 'Bevy!!!! I love this! Such a great talk!           😊 ❤️✨', 'Love it. My take home is rediscovering me. Learning to practice mindfulness acceptance being alone but not lonely. At 55 i am finally showing up for me. That is never late but great!!!! Thank  you Ms. Bevy Smith i preceived a woman.of proudness and not Bitchy Bevy.']"
T2I4tus05hI,"[""Another sexist woman whining. \nWomen leaders just looses their preferencial treatment they get by default by being a woman, and is more treated like male leaders is treated. \nIn her view, of course loosing this privilege is seen as sexism. \nAnd ofcourse all type of comments _she_ percieved in negative views, was because the other party was sexist. \nIt's projecting and pure speculation on her part what their motif was."", 'Is this still a topic ? I’m just saying, several years ago it was a thing, I think but then it faded away just as quick as it came. So I’m just saying, are they trying to bring it back !', 'When Trump got elected, the perception of women changed, and we are somewhat devalued in some ways, which are hard to pinpoint. Men will view us as weak, and unfortunately, that will take advantage since new laws in place will slant towards men. Also, when ROE is overturned, things will get ugly, and it may be a fit for survival.', ""After this 4:30 it's all in her head. There's no facts in this talk , just her perceptions."", ""Why do you have to be liked?  Male leaders aren't.  not all of them."", 'For fooks sake, do they ever stop complaining', 'I have worked with women on mechanical projects as project managers, they have been great experiences as they have been great to deal with and well organised and have realistic views on any issues that may arise. I have dealt with many a male on like projects and they are more focussed on being the man who knows what they are doing and found that they are a lot harder to deal with. Me as a person who has dealt with these situations for the last 40+ years would rather deal with a women as they have a greater understanding of the situation and are not worried about how big their ego and makes my day just that bit better than dealing with men who have no other idea other than I am the man and I am running this project and you do what I say.', 'the women laughing but the men showing no emotion>>>', 'Think it\'s hard to be a strong woman in a ""man\'s world"" then you haven\'t tried being a soft man in a woman\'s world. Said men either end up in a bad relationship where they\'re cheated on/disrespected or in no relationship. They also tend to have a lame career and social lives with a lot of women not respecting them or even wanting to acknowledge they exist. The only time they do engage with them is to dump on them all the issues they\'re getting from another more assertive man via an impromptu therapy session or to get them to be an ""ally"" to further their goals. Basically keeping them around as a nurtured emotional support animal they\'ve trained to do tricks like go to protest & post on Twitter.', 'A $43,000 profit sent to my portfolio each week, Ms. Angela cole car is amazing']"
h5D3mv8ewCY,"['Another illusion ?!? 😡', 'TED - home for the heterodox thinker.', '👍🏼👍🏼👍🏼.Only point is affordability.', ""I believe someday in the future, the mRNA-based medicine can be produced by something like today's software development, the genetic programmer can finish everything from the mRNA design, and manufacturing to quality tests in one computer within one day. What's required is a set of development tools like today's Visual Studio integrating editor, compiler, and debugger in one place. The major difference is that the manufacturing and debugging of mRNA will be done in a computer-controlled remote biochemical container instead of a remote server for software."", 'It\'s just a mask."" ""It\'s just six feet."" ""It\'s just two weeks."" ""It\'s just for non essential businesses."""" It\'s just for the useless eaters"" ""It\'s just for the non essential workers."" ""It\'s just for going into bars."" ""It\'s just for going to restaurants"" ""It\'s just to keep from overwhelming the hospitals."" ""It\'s just to make the cases go down."" ""It\'s just to flatten the curve."" ""It\'s just a few free inmates."" ""It\'s just to keep others from getting paranoid."" ""It\'s just for a few more weeks."" ""It\'s just a few more months"" ""It\'s just for a few more years"" ""It\'s just for going into a church.” ""It\'s just a small bracelet."" ""It\'s just a phone app."" ""It\'s just for tracing."" It\'s just for tracking "" "" It\'s just more dying people "" ""It\'s just for the greater good"" ""It\'s just to let others know you\'re safe to be around."" ""It\'s just to let others know who you\'ve been in contact with."" ""It\'s just a few more deaths."" ""It\'s just for\xa0 large gatherings"" ""It\'s just a few violent protests."" ""It\'s just a vaccine."" ""It\'s just 2 vaccines"" ""It\'s just 3 vaccines"" ""It\'s just 4 vaccines"" ""It\'s just a little microchip."" ""It\'s just a blood test."" ""It\'s just a scam or just a scan."" ""It\'s just for medical information."" ""It\'s just a vaccination certificate."" ""It\'s just like a credit card."" ""It\'s just for places that don\'t take cash."" ""It\'s just so you can travel."" ""It\'s just so you can get your driver\'s license."" ""It\'s just so you can vote."" ""It\'s just 200,000 more cases"" ""It\'s just another 500,000 doses"" "" It\'s just more booster shots"" ""It\'s just another booster shot"" ""It\'s just more variants"" "" It\'s just another scientific study"" ""It\'s just another injection in our bodies"" ""It\'s just more business locked down"" ""It\'s just to not let you make your own decisions"" ""It\'s just for people with underlying causes"" ""It\'s just more lies from the CDC"" ""It\'s just more lies from the FDA"" ""It\'s just more lies from big pharma"" ""It\'s just more vaccine mandates"" ""It\'s just Fauci lying"" ""It\'s just about get the vaccination or lose your job"" ""It\'s just the Omicron variant"" ""It\'s just that there is no scientific evidence to back this claim"" ""It\'s just until it doesn\'t become a threat"" ""It\'s just time to take out these tyrannical dictators and the (New World Order)""', 'Big cheater', 'When this pharma shill can get her BMI under control I might listen to what she has to say about health, but until then, her words are hollow.', 'Wow!', 'No critical thinking or comments welcome here.', 'Obviously another propaganda talk from the pharmaceutical industry, talking to the choir. mRNA has minimal effigacy over medium term. Denial of natural immunity. Obvious denial of manmade gain of function research as it leads to pandemics.This is an obviously unhealthy person trying to convince us that the future is bright with this technology while ignoring the fact of breakthrough infections of the vaccinated and the (supposed) unintended consequences of economic breakdown due to lockdowns. Nevermind the sociological damage this pandemic has incurred. This person has the right to give their view, and this is an Imperative. However as a long term viewer and suspporter of TED I have found it slowly veering to the corporate agenda.  Please give altering views,  Science use to be about debate, not consensus. Truth is discovered through dialogue, debate, data, disagreement, willingness to be proven wrong (humbelness), and time.']"
